athlete_id,sex,age,height_cm,weight_kg,upper_watts,grip_kg,plank_sec,agility_ms,decision_ms,attention,years_exp,exp_dinghy,exp_keel,starts,penalties,basustu,direkdibi,piyano,trim1,trim2,anayelken,dumen
Can Ersoy,M,18,185,80,360,42,123,612,475,93,3,0,0,10,2,1,0,0,0,0,0,0
Yasemin Aydın,F,18,185,68,556,36,101,1016,341,52,3,0,0,6,1,0,0,0,0,0,1,0
Melisa Yılmaz,F,36,161,69,434,65,102,787,416,71,3,1,1,8,1,1,0,0,0,0,0,0
Yusuf Uzun,M,19,165,57,451,45,107,967,287,55,4,0,1,8,1,0,0,0,0,1,1,0
Yusuf Kılıç,M,38,180,69,440,45,128,851,386,51,1,1,1,11,2,1,0,0,0,0,0,0
Barış Bulut,M,29,180,66,413,44,100,868,286,72,3,0,1,12,0,0,0,1,0,0,0,0
Arda Demir,M,23,180,73,504,46,170,885,312,93,7,0,0,3,1,1,0,1,1,1,1,1
Naz Taş,F,21,213,60,416,43,84,867,464,51,3,0,1,12,0,0,0,0,0,0,0,0
Melisa Kılıç,F,28,180,76,527,40,112,896,338,87,5,0,0,14,0,1,0,1,1,1,1,1
Ceyda Güneş,F,34,186,88,494,40,102,999,363,66,2,0,0,7,3,0,0,0,0,0,0,0
Eren Ekinci,M,23,184,68,476,44,177,829,402,84,3,1,1,8,1,1,0,0,0,0,1,0
Tuğçe Güneş,F,22,181,74,409,40,127,906,379,83,1,1,1,9,2,0,0,1,0,0,0,0
Seda Bozkurt,F,37,171,78,442,39,161,786,359,72,5,1,1,14,1,1,0,1,1,1,0,1
Tunç Yılmaz,M,19,182,65,575,45,60,1016,371,79,4,0,1,9,1,0,1,1,1,0,1,0
Arda Ekinci,M,23,167,72,550,42,130,698,494,57,3,0,1,5,0,1,0,0,0,0,1,0
Tolga Aksoy,M,39,172,70,402,57,155,1070,346,71,7,1,0,10,0,0,0,1,1,0,0,1
Burak Duran,M,28,170,71,509,23,123,793,362,93,4,0,1,11,1,1,0,1,1,1,1,0
Uğur Duran,M,33,175,60,575,53,162,585,413,85,7,0,1,12,1,1,1,0,1,1,1,0
Tolga Arslan,M,33,198,70,333,54,99,819,416,54,5,1,1,17,0,0,0,0,0,1,0,0
Can Koç,M,18,156,75,554,28,176,697,421,62,2,0,0,8,1,1,0,0,0,0,0,0
Damla Duran,F,26,181,87,433,42,211,926,388,78,1,1,1,13,1,0,0,1,0,0,0,0
Furkan Şahin,M,23,158,81,557,42,105,702,281,80,6,0,0,3,0,1,1,1,1,1,1,1
Burak Kaya,M,33,170,95,423,33,102,733,448,96,2,1,1,17,0,1,0,0,0,0,0,0
Kaan Demir,M,20,185,60,319,38,178,516,281,65,3,0,1,9,1,1,0,0,0,0,0,0
Berk Erden,M,37,175,80,337,36,183,732,368,91,3,0,0,7,2,1,0,1,0,0,0,0
Ece Uzun,F,21,164,72,504,59,99,500,304,79,3,1,1,9,0,0,0,1,0,0,1,0
Barış Öztürk,M,36,167,96,525,52,103,562,346,65,4,0,0,13,1,1,0,0,0,1,1,0
Ömer Duran,M,20,181,60,409,55,108,914,369,61,9,0,0,7,0,0,0,0,0,1,0,1
Eren Şahin,M,36,167,59,563,50,66,917,369,66,4,1,0,10,0,0,1,0,1,1,1,0
Mert Avcı,M,37,177,62,333,35,83,863,375,65,4,0,1,7,0,0,0,0,0,1,0,0
Esra Aslan,F,24,175,44,493,40,79,654,446,61,7,1,1,11,2,0,0,0,0,1,1,0
Kaan Ekinci,M,37,168,63,378,48,89,792,377,57,7,0,1,6,1,0,0,0,0,1,0,0
Mert Çelik,M,26,196,60,434,35,118,799,335,69,4,0,0,12,1,1,0,0,1,1,0,0
Naz Güneş,F,18,181,71,504,50,129,626,407,52,3,0,1,11,1,1,0,0,0,0,1,0
Hülya Ekinci,F,25,154,74,413,43,182,1025,421,65,6,0,0,12,1,0,0,0,0,0,0,0
Yasemin Kaya,F,24,176,92,461,42,80,931,276,79,6,1,1,15,0,0,0,1,1,1,1,1
Ömer Şahin,M,35,168,81,600,50,159,766,385,94,0,0,0,9,1,1,1,1,0,0,0,0
Hakan Kaya,M,25,183,63,442,48,111,804,392,72,3,1,0,5,0,1,0,1,0,0,0,0
Tuğçe Kurt,F,18,167,59,583,42,118,831,332,77,5,0,0,8,1,1,1,1,1,1,1,1
Kerem Taş,M,28,173,75,387,54,146,500,432,100,4,0,1,8,0,1,0,0,1,1,0,0
Volkan Doğan,M,35,180,54,552,36,75,762,340,89,3,0,0,6,3,0,0,1,0,0,1,0
Arda Demir #2,M,27,183,91,644,49,135,697,357,54,3,0,0,10,0,1,1,0,0,0,1,0
Furkan Demir,M,20,162,84,252,49,126,649,339,69,7,1,0,10,1,1,0,0,1,1,0,1
Tuğçe Koç,F,24,171,64,420,42,139,757,350,89,3,1,0,18,0,1,0,1,0,0,0,0
Mert Bulut,M,33,170,49,557,47,131,1069,284,93,3,1,0,12,2,0,1,1,0,0,1,0
Dilara Uzun,F,33,168,86,479,34,218,896,263,50,3,1,0,6,0,1,0,0,0,0,1,0
Ali Bulut,M,37,192,68,537,52,94,714,445,79,6,0,1,6,0,0,0,0,1,1,1,0
Sinan Tekin,M,34,179,84,439,43,98,885,299,70,3,1,1,13,1,0,0,0,0,0,0,0
Berk Ersoy,M,19,162,50,508,40,95,1009,290,69,6,1,0,8,2,0,0,0,1,0,1,1
Berk Bulut,M,18,184,62,484,53,97,938,220,55,2,0,1,14,0,0,0,0,0,0,0,0
Hazal Kılıç,F,33,196,70,616,39,94,808,311,71,7,0,1,13,0,0,0,1,1,1,1,1
Fatma Uzun,F,29,185,70,525,33,167,702,270,67,4,0,0,9,3,1,0,0,1,1,1,0
Yasemin Arslan,F,22,159,64,533,32,176,904,448,57,4,0,0,4,0,0,0,0,0,1,1,0
İlayda Güneş,F,22,170,77,458,49,97,859,410,88,1,1,0,7,3,0,0,0,0,0,0,0
Mehmet Taş,M,26,187,57,451,34,86,934,308,81,5,1,1,12,2,0,0,1,1,1,1,1
Gül Kurt,F,26,167,68,456,59,138,895,485,82,6,0,0,16,1,1,0,0,1,1,1,0
Eren Ekinci #2,M,20,179,71,539,28,97,957,408,65,1,0,1,18,1,0,0,0,0,0,0,0
Ali Öztürk,M,36,182,76,457,58,145,719,330,61,5,0,0,9,2,1,0,0,0,1,1,1
Burak Ersoy,M,33,165,78,528,46,128,997,200,87,5,1,1,7,1,0,0,1,1,1,1,1
Cem Yıldız,M,33,174,56,707,44,59,829,487,83,1,1,0,11,2,0,1,0,0,0,0,0
Eren Kaya,M,20,142,51,587,40,181,1111,266,63,3,0,0,11,0,0,0,0,0,0,1,0
Yiğit Aydın,M,37,164,85,467,48,191,696,251,85,4,0,1,13,1,1,0,1,1,1,1,0
