athlete_id,score_basustu,score_direkdibi,score_piyano,score_trim1,score_trim2,score_anayelken,score_dumen
Can Ersoy,0.7520915,0.00059344055,0.8057216,0.1844734,0.15117556,0.00581951,0.0067817946
Yasemin Aydın,0.00873774,0.056345087,0.0028514399,0.0022460672,0.011518873,0.94394743,0.0006853888
Melisa Yılmaz,0.5780197,0.057799343,0.06321557,0.0054610483,0.104412675,0.058096543,0.003283242
Yusuf Uzun,0.029831074,0.018313995,0.017201802,0.012468445,0.029021794,0.7841292,0.0050809747
Yusuf Kılıç,0.504421,0.017271243,0.0177694,7.3941155e-05,0.0047046468,0.014396883,5.0374787e-05
Barış Bulut,0.16626534,0.010251244,0.71584374,0.1275466,0.06737277,0.06429515,0.02101791
Arda Demir,0.69503695,0.20245136,0.9646127,0.9985581,0.99873835,0.9948696,0.9215172
Naz Taş,0.017584063,0.0024488636,0.0008750069,0.00026109072,0.02283854,0.09661298,7.331488e-05
Melisa Kılıç,0.3086741,0.21010979,0.9319264,0.9874299,0.971123,0.9708839,0.7394483
Ceyda Güneş,0.070167325,0.118392676,0.27167934,0.0057399287,0.0040078736,0.11840762,0.0016348719
Eren Ekinci,0.82723355,0.060445156,0.63533753,0.08706497,0.13984549,0.10457965,0.016929334
Tuğçe Güneş,0.20693947,0.0039991895,0.87892795,0.0012049227,0.00013270655,0.0029053034,5.5453434e-05
Seda Bozkurt,0.79404527,0.04323371,0.45329934,0.7683663,0.95554185,0.53046626,0.35819176
Tunç Yılmaz,0.009136522,0.5194355,0.6522951,0.5977887,0.08953459,0.97603613,0.11174074
Arda Ekinci,0.79797286,0.17083164,0.0033725377,0.0010192052,0.19537346,0.52608323,0.0008733144
Tolga Aksoy,0.29771054,0.042662203,0.130681,0.6514768,0.9789186,0.83407104,0.39073986
Burak Duran,0.6575654,0.029831206,0.97601545,0.95434016,0.8796829,0.8398355,0.28313836
Uğur Duran,0.8843216,0.29489303,0.17017604,0.8131402,0.99205244,0.96101403,0.36863613
Tolga Arslan,0.4497307,0.0018789575,0.00336552,0.013249509,0.8624056,0.05736519,0.007059953
Can Koç,0.9111314,0.03238428,0.025657956,0.00041877193,0.0140971085,0.29375142,0.00011605306
Damla Duran,0.70098925,0.010894586,0.7713353,0.0012415615,0.00089444645,0.003099772,0.00013333569
Furkan Şahin,0.67569304,0.20970501,0.95338285,0.9950813,0.99527836,0.9935802,0.85894287
Burak Kaya,0.45939615,0.0032166648,0.9469287,0.058095757,0.012609849,0.0094481,0.0018139732
Kaan Demir,0.94538414,0.00019237713,0.19171074,0.008076858,0.123122014,0.009879404,0.0007002705
Berk Erden,0.8431129,0.0009218938,0.88395274,0.08266249,0.09448747,0.009286645,0.003389479
Ece Uzun,0.849407,0.1258949,0.7545536,0.34773895,0.5727312,0.42002645,0.06787874
Barış Öztürk,0.8629337,0.12011692,0.120240495,0.29012424,0.92289704,0.7849066,0.111756675
Ömer Duran,0.08142603,0.022505853,0.04503531,0.8571859,0.9926474,0.96510136,0.4364099
Eren Şahin,0.04207731,0.5275438,0.059656072,0.033638746,0.1207309,0.82396805,0.033514973
Mert Avcı,0.05543717,0.0012998588,0.07608503,0.042857118,0.23652735,0.04208843,0.01146102
Esra Aslan,0.05462823,0.023227153,0.0029821738,0.18702526,0.96413326,0.9573886,0.024005193
Kaan Ekinci,0.17826857,0.00993601,0.015133123,0.17096527,0.94503427,0.4688314,0.07794672
Mert Çelik,0.6282345,0.00538032,0.24212126,0.45107764,0.85013545,0.23492724,0.10248545
Naz Güneş,0.8106892,0.06200673,0.0046065124,0.0021841147,0.25459528,0.4720872,0.0014471323
Hülya Ekinci,0.34692055,0.009319478,0.03682994,0.4791822,0.9327303,0.712551,0.0995306
Yasemin Kaya,0.068446785,0.04169879,0.9436799,0.99817467,0.98865205,0.99257576,0.86090326
Ömer Şahin,0.7315172,0.6638411,0.83383596,0.0012433709,0.0021621326,0.047159534,0.00044983806
Hakan Kaya,0.549252,0.038337223,0.30455413,0.030482626,0.081000775,0.0484545,0.012608827
Tuğçe Kurt,0.27040145,0.24064162,0.30684465,0.8169959,0.90817076,0.99043053,0.27814135
Kerem Taş,0.9160825,0.005618275,0.7339239,0.7118328,0.90060395,0.1322358,0.08584072
Volkan Doğan,0.20282288,0.23262675,0.87799543,0.45915544,0.29674774,0.61913013,0.09881925
Arda Demir #2,0.8694812,0.69972324,0.012649182,0.0019630203,0.16044675,0.8988651,0.0022377328
Furkan Demir,0.7232177,0.00054581667,0.42180717,0.88903904,0.98288167,0.100049205,0.20376363
Tuğçe Koç,0.64033926,0.010747364,0.92542845,0.16311838,0.077091984,0.060366306,0.009953762
Mert Bulut,0.0750098,0.64321005,0.9014248,0.2801918,0.078678645,0.947865,0.042853303
Dilara Uzun,0.90922093,0.011266658,0.03099326,0.00820563,0.36471626,0.6978837,0.0023767021
Ali Bulut,0.46630237,0.24798048,0.07417966,0.48472464,0.9690521,0.8856467,0.25391895
Sinan Tekin,0.24712975,0.025457889,0.6703149,0.24141185,0.21828577,0.19220363,0.04841892
Berk Ersoy,0.011394287,0.14680646,0.2309227,0.8693019,0.6540209,0.9964625,0.4268856
Berk Bulut,0.03705861,0.011658224,0.048195656,0.0013359434,0.0021930982,0.29288492,0.00032174957
Hazal Kılıç,0.4696656,0.17514849,0.5702319,0.9772889,0.9954202,0.9888131,0.6580263
Fatma Uzun,0.9240905,0.035954006,0.45032677,0.7810027,0.9680899,0.93575776,0.18623161
Yasemin Arslan,0.26726693,0.0322393,0.0016004179,0.0101412665,0.61134994,0.9157486,0.0038674194
İlayda Güneş,0.15574537,0.02373072,0.8162405,0.0012741035,0.00017689182,0.0070898966,7.420803e-05
Mehmet Taş,0.07506049,0.030581117,0.8843802,0.98297197,0.891719,0.9240157,0.64409906
Gül Kurt,0.6791315,0.07764909,0.15609421,0.67753035,0.9534109,0.78507566,0.18616022
